#    L    TT             EE             BB             TE          
   357   0.149384E+04   0.181487E+02   0.126927E-01  -0.689300E+01
   358   0.149176E+04   0.180808E+02   0.127411E-01  -0.872157E+01
   359   0.149019E+04   0.180082E+02   0.127900E-01  -0.105291E+02
   360   0.148912E+04   0.179313E+02   0.128392E-01  -0.123144E+02
   361   0.148852E+04   0.178501E+02   0.128888E-01  -0.140785E+02
   362   0.148841E+04   0.177645E+02   0.129389E-01  -0.158198E+02
   363   0.148877E+04   0.176748E+02   0.129894E-01  -0.175378E+02
   364   0.148959E+04   0.175810E+02   0.130403E-01  -0.192320E+02
   365   0.149088E+04   0.174831E+02   0.130916E-01  -0.209018E+02
   366   0.149261E+04   0.173813E+02   0.131433E-01  -0.225463E+02
   367   0.149478E+04   0.172757E+02   0.131954E-01  -0.241653E+02
   368   0.149739E+04   0.171663E+02   0.132480E-01  -0.257578E+02
   369   0.150041E+04   0.170534E+02   0.133010E-01  -0.273233E+02
   370   0.150386E+04   0.169367E+02   0.133544E-01  -0.288613E+02
   371   0.150771E+04   0.168167E+02   0.134082E-01  -0.303710E+02
   372   0.151196E+04   0.166932E+02   0.134624E-01  -0.318519E+02
   373   0.151659E+04   0.165665E+02   0.135170E-01  -0.333034E+02
   374   0.152160E+04   0.164366E+02   0.135721E-01  -0.347247E+02
   375   0.152697E+04   0.163037E+02   0.136275E-01  -0.361155E+02
   376   0.153269E+04   0.161677E+02   0.136834E-01  -0.374750E+02
   377   0.153877E+04   0.160288E+02   0.137396E-01  -0.388026E+02
   378   0.154518E+04   0.158871E+02   0.137963E-01  -0.400978E+02
   379   0.155192E+04   0.157426E+02   0.138533E-01  -0.413600E+02
   380   0.155897E+04   0.155956E+02   0.139107E-01  -0.425884E+02
   381   0.156633E+04   0.154460E+02   0.139685E-01  -0.437826E+02
   382   0.157398E+04   0.152938E+02   0.140267E-01  -0.449419E+02
   383   0.158192E+04   0.151395E+02   0.140852E-01  -0.460657E+02
   384   0.159013E+04   0.149829E+02   0.141441E-01  -0.471532E+02
   385   0.159859E+04   0.148242E+02   0.142034E-01  -0.482038E+02
   386   0.160730E+04   0.146636E+02   0.142630E-01  -0.492167E+02
   387   0.161626E+04   0.145012E+02   0.143230E-01  -0.501913E+02
   388   0.162543E+04   0.143372E+02   0.143833E-01  -0.511268E+02
   389   0.163481E+04   0.141716E+02   0.144440E-01  -0.520227E+02
   390   0.164440E+04   0.140047E+02   0.145050E-01  -0.528781E+02
   391   0.165417E+04   0.138365E+02   0.145663E-01  -0.536925E+02
   392   0.166410E+04   0.136670E+02   0.146279E-01  -0.544652E+02
