#    L    TT             EE             BB             TE          
   336   0.178452E+04   0.234696E+02   0.168974E-01  -0.164229E+02
   337   0.178205E+04   0.234592E+02   0.169589E-01  -0.186142E+02
   338   0.178006E+04   0.234432E+02   0.170207E-01  -0.207905E+02
   339   0.177853E+04   0.234214E+02   0.170830E-01  -0.229490E+02
   340   0.177747E+04   0.233939E+02   0.171457E-01  -0.250886E+02
   341   0.177687E+04   0.233606E+02   0.172089E-01  -0.272081E+02
   342   0.177672E+04   0.233214E+02   0.172725E-01  -0.293065E+02
   343   0.177702E+04   0.232763E+02   0.173367E-01  -0.313811E+02
   344   0.177775E+04   0.232252E+02   0.174013E-01  -0.334314E+02
   345   0.177892E+04   0.231681E+02   0.174664E-01  -0.354556E+02
   346   0.178052E+04   0.231049E+02   0.175321E-01  -0.374526E+02
   347   0.178254E+04   0.230357E+02   0.175983E-01  -0.394204E+02
   348   0.178497E+04   0.229602E+02   0.176650E-01  -0.413579E+02
   349   0.178783E+04   0.228786E+02   0.177323E-01  -0.432618E+02
   350   0.179109E+04   0.227909E+02   0.178001E-01  -0.451316E+02
   351   0.179476E+04   0.226970E+02   0.178685E-01  -0.469649E+02
   352   0.179884E+04   0.225971E+02   0.179375E-01  -0.487612E+02
   353   0.180331E+04   0.224912E+02   0.180071E-01  -0.505210E+02
   354   0.180817E+04   0.223797E+02   0.180772E-01  -0.522424E+02
   355   0.181343E+04   0.222624E+02   0.181479E-01  -0.539267E+02
   356   0.181905E+04   0.221397E+02   0.182193E-01  -0.555735E+02
   357   0.182505E+04   0.220116E+02   0.182912E-01  -0.571825E+02
   358   0.183140E+04   0.218783E+02   0.183637E-01  -0.587534E+02
   359   0.183811E+04   0.217397E+02   0.184368E-01  -0.602867E+02
   360   0.184515E+04   0.215962E+02   0.185106E-01  -0.617814E+02
   361   0.185253E+04   0.214477E+02   0.185849E-01  -0.632389E+02
   362   0.186023E+04   0.212945E+02   0.186599E-01  -0.646577E+02
   363   0.186826E+04   0.211367E+02   0.187354E-01  -0.660378E+02
   364   0.187658E+04   0.209743E+02   0.188115E-01  -0.673790E+02
   365   0.188520E+04   0.208077E+02   0.188883E-01  -0.686807E+02
   366   0.189412E+04   0.206368E+02   0.189656E-01  -0.699428E+02
   367   0.190331E+04   0.204619E+02   0.190435E-01  -0.711649E+02
   368   0.191278E+04   0.202830E+02   0.191220E-01  -0.723465E+02
   369   0.192250E+04   0.201004E+02   0.192010E-01  -0.734875E+02
   370   0.193248E+04   0.199141E+02   0.192806E-01  -0.745876E+02
   371   0.194270E+04   0.197245E+02   0.193608E-01  -0.756462E+02
   372   0.195315E+04   0.195315E+02   0.194416E-01  -0.766632E+02
   373   0.196382E+04   0.193353E+02   0.195228E-01  -0.776383E+02
   374   0.197470E+04   0.191362E+02   0.196046E-01  -0.785710E+02
   375   0.198577E+04   0.189342E+02   0.196870E-01  -0.794611E+02
   376   0.199703E+04   0.187295E+02   0.197698E-01  -0.803083E+02
   377   0.200847E+04   0.185223E+02   0.198531E-01  -0.811123E+02
   378   0.202007E+04   0.183126E+02   0.199370E-01  -0.818729E+02
   379   0.203182E+04   0.181006E+02   0.200213E-01  -0.825895E+02
   380   0.204372E+04   0.178865E+02   0.201061E-01  -0.832620E+02
   381   0.205575E+04   0.176705E+02   0.201913E-01  -0.838900E+02
   382   0.206789E+04   0.174525E+02   0.202770E-01  -0.844733E+02
   383   0.208015E+04   0.172330E+02   0.203631E-01  -0.850114E+02
   384   0.209249E+04   0.170120E+02   0.204496E-01  -0.855039E+02
   385   0.210491E+04   0.167897E+02   0.205365E-01  -0.859505E+02
   386   0.211741E+04   0.165663E+02   0.206239E-01  -0.863507E+02
   387   0.212996E+04   0.163420E+02   0.207116E-01  -0.867041E+02
   388   0.214255E+04   0.161171E+02   0.207997E-01  -0.870104E+02
   389   0.215516E+04   0.158917E+02   0.208881E-01  -0.872690E+02
   390   0.216780E+04   0.156659E+02   0.209769E-01  -0.874797E+02
   391   0.218043E+04   0.154400E+02   0.210660E-01  -0.876421E+02
   392   0.219304E+04   0.152140E+02   0.211555E-01  -0.877558E+02
